"aar";"yrke_grovgruppe";"yrke_fingruppe";"yrkeskode";"yrke";"yrkesbetegnelse";"isco_versjon";"antall_arbeidssokere"
"2013";"Serviceyrker og annet arbeid";"Yrker innen kunst, sport og kultur";"3422";"Trenere og idrettsdommere";"Coach (idrett), Dommer (idrett), Dykkeinstruktør, Idrettsinstruktør (øvrige), Idrettstrener, Instruktør (idrett), Lærling (hestefaglært), Rideinstruktør, Trener, Trener (hestesport), Trener og idrettsdommer";"ISCO-08";"210"
"2013";"Serviceyrker og annet arbeid";"Yrker innen kunst, sport og kultur";"3423";"Sports- og aktivitetsinstruktører";"Instruktør (helsestudio ol.), Sports- og aktivitetsinstruktør";"ISCO-08";"38"
"2013";"Serviceyrker og annet arbeid";"Yrker innen kunst, sport og kultur";"3431";"Fotografer og filmfotografer";"Filmfotograf, Filmfotograf (fjernsyn, video, film), Formann (fotografi), Fotograf, Fotograf og filmfotograf, Lærling (fotograf)";"ISCO-08";"189"
"2013";"Serviceyrker og annet arbeid";"Yrker innen kunst, sport og kultur";"3432";"Interiørdesignere og dekoratører";"Dekoratør, Interiørdesigner og dekoratør, Interiørkonsulent, Produksjonskonsulent (forlag)";"ISCO-08";"63"
"2013";"Serviceyrker og annet arbeid";"Yrker innen kunst, sport og kultur";"3433";"Tekniske konservatorer";"Taksidermist, Teknisk konservator";"ISCO-08";"15"
"2013";"Reiseliv og transport";"Kokker";"3434";"Sjefskokker";"Sjefskokk";"ISCO-08";"83"
"2013";"Serviceyrker og annet arbeid";"Yrker innen kunst, sport og kultur";"3439";"Andre yrker innen estetiske fag";"Annet yrke innen estetiske fag, Driftstekniker (radio/fjernsyn), Inspisient, Lystekniker, Produksjonskonsulent (radio/fjernsyn), Programingeniør, Påkleder, Rekvisitør, Scenemester, Scenograf, Sufflør";"ISCO-08";"113"
"2013";"Ingeniør- og ikt-fag";"Ikt-yrker";"3511";"Driftsteknikere, IKT";"Dataingeniør, Datatekniker, Driftskonsulent (IT), Driftskonsulent IT, Driftstekniker (IT), Driftstekniker, IKT, Ingeniør (IT), Lærling (IKT driftsoperatør), Lærling (IKT), Tekniker (IT)";"ISCO-08";"627"
"2013";"Ingeniør- og ikt-fag";"Ikt-yrker";"3512";"Brukerstøttere, IKT";"Brukerstøtte IKT, Brukerstøtte, IKT";"ISCO-08";"155"
"2013";"Ingeniør- og ikt-fag";"Ikt-yrker";"3513";"Nettverks- og systemteknikere, IKT";"EDB-systemkonsulent, Nettverks- og systemtekniker, IKT";"ISCO-08";"21"
"2013";"Ingeniør- og ikt-fag";"Ikt-yrker";"3514";"Internett-teknikere";"Internett-tekniker, Web-utvikler, Webkoordinator, Webmaster";"ISCO-08";"94"
"2013";"Ingeniør- og ikt-fag";"Ikt-yrker";"3521";"Teknikere innen radio og tv";"Billedtekniker, Filmklipper (film, fjernsyn, video o.l.), Innspillingstekniker, Kinomaskinist, Lydtekniker, Redigerer (film), Tekniker innen radio og tv";"ISCO-08";"148"
"2013";"Ingeniør- og ikt-fag";"Ikt-yrker";"3522";"Teknikere innen telekommunikasjon";"Radiooperatør, Tekniker innen telekommunikasjon";"ISCO-08";"45"
"2013";"Kontorarbeid";"Økonomi- og kontormedarbeidere";"4110";"Kontormedarbeidere";"Administrasjonsmedarbeider, Boligkonsulent, Kontormedarbeider, Korrekturleser, Kundeservicemedarbeider, Lærling (kontorfaglært), Markedsføringsassistent, Markedsføringssekretær, Meteorologfullmektig, Sekretær";"ISCO-08";"2168"
"2013";"Kontorarbeid";"Andre funksjonærer";"4131";"Stenografer";"*";"ISCO-08";"*"
"2013";"Kontorarbeid";"Andre funksjonærer";"4132";"Dataregistrerere";"Dataregistrerer";"ISCO-08";"64"
"2013";"Kontorarbeid";"Andre funksjonærer";"4211";"Kundebehandlere, bank og postkontor";"Kundebehandler, bank og postkontor, Postbud og sorterer, Postkasserer / bankkasserer";"ISCO-08";"752"
"2013";"Serviceyrker og annet arbeid";"Annet arbeid";"4212";"Bingoverter, bookmakere mv.";"Bingovert, Bingovert, bookmaker mv.";"ISCO-08";"82"
"2013";"Kontorarbeid";"Andre funksjonærer";"4213";"Pantelånere";"*";"ISCO-08";"*"
"2013";"Kontorarbeid";"Økonomi- og kontormedarbeidere";"4214";"Inkassomedarbeidere mv.";"Inkassomedarbeider, Inkassomedarbeider mv.";"ISCO-08";"29"
